"","Column","lat","lng","label_place_of_publication","address","city","country","language","dates_of_reprints","date","time","date.3","cartodb_id","translator_s","title","publisher","number_of_printings_and_or_editions","sales_figures_if_known","link_to_cover","link_to_sound_file_of_title","notes","source__w__worldcat__it__index_translationum","X_column","Column.23"
"24",12,40.1740741188803,44.587078640549,"K. Polis","Erevan","Erevan","Armenia","Armenian","",1908,"01/01/1908 00:00","",12,"Marinos H Stampōlluean","Chēyn Ēyr","Tpagrutʻiwn H. Mattʻēosean","1",NA,"","","","WorldCat",NA,""
"25",11,40.1699420599724,44.5090982978419,"Erevan","Erevan","Erevan","Armenia","Armenian","1988, 2018",1959,"01/01/1959 00:00","",11,"Aram Budaghyan","Jeyn Ēyr ","Haypethrat","1",NA,"","","Source for the 1959 edition: Jay Dillon Rare Books + Manuscripts","WorldCat",NA,""
"26",167,26.0631196939421,91.6874909104238,"Guwahati","Guwahati","Kamrup Metropolitan","India","Assamese","",1999,"01/01/1999 00:00","",164,"Subhadra Baruwa","জেন আয়ার / Jane Eyre","Pūrbāñcal Prakāś","1",NA,"","","Abridged","IT",NA,""
"27",NA,40.4264972919994,49.8247291425686,"Baku","Baku","Baku","Azerbaijani","Azeri","",2013,"01/01/2013 00:00","",NA,"Nadir Bədəlov","Ceyn Eyr","Qanun, ‘Äli vä Nino’","",NA,"","","Translated from Russian (probably one of the Stanevich, Stanevich-Gurova or Gurova translations). Source: Jay Dillon Rare Books + Manuscripts","",NA,""
"28",449,43.2110880628508,-2.01365088222252,"Donostia-San Sebastián","San Sebastián","Guipúzcoa","Spain","Basque","2011",1998,"01/01/1998 00:00","",411,"Iñaki Mendiguren","Jane Eyre","Elkarlanean ","2",NA,"https://www.dropbox.com/s/dgycs7iqq051n0t/1998%20Mendiguren.jpg?dl=0","","Possibly abridged","IT",NA,""
"29",NA,22.4744634386222,88.3891772686114,"Kolkata","Kolkata","Kolkata","India","Bengali","",1914,"01/01/1914 00:00","",NA,"Nirmmalā Bālā Soma","Saralā","Nirmmalā Bālā Soma","",NA,"","","","",NA,""
"30",17,23.8917071629099,90.4342273881681,"Dhaka","Dhaka","Dhaka","Bangladesh","Bengali","",1977,"01/01/1977 00:00","",17,"Suraiya Akhtar Begum","জেন আয়ার / Jane Eyre","Muktadhārā ","1",NA,"","","Abridged","IT",NA,""
"31",16,23.7845634167332,90.3228320619113,"Dhaka","Dhaka","Dhaka","Bangladesh","Bengali","",1990,"01/01/1990 00:00","",16,"Kabir Chaudhuri","জেন আয়ার / Jane Eyre","Muktadhārā ","1",NA,"","","Abridged","WorldCat",NA,""
"32",NA,22.619190844621,88.3343515776174,"Kolkata","Kolkata","Kolkata","India","Bengali","",1991,"01/01/1991 00:00","",NA,"Sudhīndranāth Rāhā","জেন আয়ার / Jane Eyre","Dēv Sāhitya Kuṭār","",NA,"","","Abridged","",NA,""
"33",18,23.7763908229086,90.3356619465652,"Dhaka","Dhaka","Dhaka","Bangladesh","Bengali","",2006,"01/01/2006 00:00","",18,"Qazi Shahnoor Husain","কিশোর ক্লাসিক জেন আয়ার লিটল উইমেন ভ্যানিটি ফেয়ার / Teenager Classics: Jane Eyre, Little Women, Vanity Fair","Sebā Prakāśanī","1",NA,"","","Abridged","WorldCat",NA,""
"34",NA,23.8362277671013,90.4766130995027,"Dhaka","Dhaka","Dhaka","Bangladesh","Bengali","",2010,"01/01/2010 00:00","",NA,"Dhrub Nīl (ধ্রুব নীল)","শার্লট ব্রন্টি জেন আয়ার / Śārlaṭ Branṭi: Jen Āẏār / Charlotte Brontë: Jane Eyre ","Pāñjērī Pāblikēśans ","",NA,"","","Abridged and illustrated: 'Teenage Classics Series'","",NA,""
"35",NA,23.8429815136146,90.4406770606081,"Dhaka","Dhaka","Dhaka","Bangladesh","Bengali","",2011,"01/01/2011 00:00","",NA,"Khurram Hosahim (খুররম হোসাইন)","শার্লট ব্রন্টি জেন আয়ার / Charlotte Brontë: Jane Eyre","Phrēnḍs Buk Karṇār","",NA,"","","Abridged","",NA,""
"36",NA,23.8900860425334,90.4541668479353,"Dhaka","Dhaka","Dhaka","Bangladesh","Bengali","",2018,"01/01/2018 00:00","",NA,"Muhaq Zakir (মুহঃ জাকির হোসেন)","শার্লট ব্রন্টি পাঠকননদিতা ও শিল্পোত্তীর্ণা উপন্যাস জেন আয়ার / Charlotte Brontë's Delightful and Artistic Novel: Jane Eyre","Biśbasāhitya Bhaban","1",NA,"","","Abridged, edition for teenagers","",NA,""
"37",NA,23.7612446417816,90.3018647710815,"Dhaka","Dhaka","Dhaka","Bangladesh","Bengali","",2019,"01/01/2019 00:00","",NA,"Sālēhā Chowdhury (সালেহা চৌধুরী)","শার্লট ব্রন্টি জেন আয়ার / Charlotte Brontë: Jane Eyre","Uttaran","1",NA,"","","Abridged","",NA,""
"38",31,42.7967466967574,23.3549105182973,"Sofia","Sofia","Sofia","Bulgaria","Bulgarian","1979",1959,"01/01/1959 00:00","",30,"Hristo K'nev"," Джейн Еър / Jane Eyre","Nar. kultura","2",NA,"","","","COBISS",NA,""
"39",30,42.8008705532107,23.3638953292494,"Sofia","Sofia","Sofia","Bulgaria","Bulgarian","",2013,"01/01/2013 00:00","",31,"Natalya Georgieva, Dimit'r Tonin & Silvia Serafimova Velikova"," Джейн Еър: автобиография / Jane Eyre: An Autobiography","Šambala","1",NA,"","","","COBISS",NA,""
"40",285,16.9229231951898,96.2824764559245,"Rangoon","Rangoon","Rangoon","Myanmar","Burmese","",1953,"01/01/1953 00:00","",285,"Unknown","Gyain-è-yà / Jane Eyre ","Burma Translation Society","1",NA,"","","","WorldCat",NA,""
"41",412,41.3316806113635,2.23376493140426,"Barcelona","Barcelona","Barcelona","Spain","Catalan","1996, 2010",1992,"01/01/1992 00:00","",412,"Maria Dolors Ventós","Jane Eyre","Proa","2",NA,"","","First Barcelona edition of the translation originally published in Madrid in 1947. 2010 edition is with Labutxaca","",NA,""
"42",414,41.3614944140249,2.1763057116263,"Barcelona","Barcelona","Barcelona","Spain","Catalan","",2001,"01/01/2001 00:00","",414,"Jordi Arbonès i Montull","Jane Eyre","Columna","1",NA,"","","","IT",NA,""
"43",413,41.3049410898991,2.1837008872379,"Barcelona","Barcelona","Barcelona","Spain","Catalan","",2010,"01/01/2010 00:00","",413,"Anna Llisterri","Jane Eyre","Teide","1",NA,"https://www.dropbox.com/s/vhfv9hq0edcxmiq/2010_Llisterri.jpg?dl=0","","","WorldCat",NA,""
"44",NA,31.0733903601473,121.445158129361,"Shanghai","Shanghai","Shanghai","China","Chinese","",1925,"01/01/1925 00:00","01/01/1925",NA,"Xiaomei Xu (许小美)","重光记 / Chong guang ji / Seeing Light Again","Dadong Press","",NA,"","","Later republished in Tainan, Taiwan (1972)","",NA,""
"45",NA,31.1505669719713,121.589863193537,"Shanghai","Shanghai","Shanghai","China","Chinese","1977",1935,"01/01/1935 00:00","01/01/1935",NA,"Guangjian Wu (伍光建)","孤女飘零记 / Gunv piaolingji / Record of a Wandering Orphan","Commercial Press","",NA,"","","Later republished in Jilin (2013)","",NA,""
"46",NA,31.0207201427022,121.433621082165,"Shanghai","Shanghai","Shanghai","China","Chinese","1952",1936,"01/01/1936 00:00","01/01/1936",NA,"Jiye Li (李霁野)","简爱自传 / Jianai zizhuan / Jane Eyre: An Autobiography","Shenghuo Shudian","",NA,"","","The 1952 edition is with Wenhua Shenghuo Press. Later republished in Beijing (1982)","",NA,""
"47",NA,25.0270088306565,121.483755796778,"Taipei","Taipei","Taipei","Taiwan","Chinese","",1954,"01/01/1954 00:00","01/01/1954",NA,"Fang Li (李方)","简爱 / Jianai / Jane Eyre","Taipei Xinxing Press","",NA,"","","","",NA,""
"48",NA,25.1177598715231,121.499537755459,"Taipei","Taipei","Taipei","Taiwan","Chinese","",1961,"01/01/1961 00:00","01/01/1961",NA,"Wen Li (李文)","简爱 / Jianai / Jane Eyre","Taipei Dazhongguo Press","",NA,"","","","",NA,""
"49",NA,25.163409240817,121.513484414204,"Taipei","Taipei","Taipei","Taiwan","Chinese","",1963,"01/01/1963 00:00","01/01/1963",NA,"Weitang Lin (林维堂)","简爱 / Jianai / Jane Eyre","Taipei Wenhua Press","",NA,"","","","",NA,""
"50",NA,22.7397243005425,120.423691573239,"Kaohsiung","Kaohsiung","Kaohsiung","Taiwan","Chinese","",1971,"01/01/1971 00:00","01/01/1971",NA,"Zhicheng Zhang (张志成)","简爱 / Jianai / Jane Eyre","Gaoxiong Dazhong Press","",NA,"","","","",NA,""
"51",NA,23.0392579694961,120.282241059223,"Tainan","Tainan","Tainan","Taiwan","Chinese","",1972,"01/01/1972 00:00","01/01/1972",NA,"Xiaomei Xu (许小美)","简爱 / Jianai / Jane Eyre","Tainan Xinshiji Press","",NA,"","","First Tainan edition of the translation originally published in Shanghai in 1925","",NA,""
"52",NA,22.9186142263685,120.308477595996,"Tainan","Tainan","Tainan","Taiwan","Chinese","",1973,"01/01/1973 00:00","01/01/1973",NA,"Ninglan Lin (林宁兰)","简爱 / Jianai / Jane Eyre","Tainan Wangjia Press","",NA,"","","","",NA,""
"53",NA,22.9372194024485,120.211936486455,"Tainan","Tainan","Tainan","Taiwan","Chinese","",1975,"01/01/1975 00:00","01/01/1975",NA,"Mengdai Zhao (赵梦黛)","简爱 / Jianai / Jane Eyre","Tainan Biaozhun Press","",NA,"","","","",NA,""
"54",NA,25.1177789825883,121.564782959179,"Taipei","Taipei","Taipei","Taiwan","Chinese","1984",1975,"01/01/1975 00:00","01/01/1975",NA,"Yundai Liu (刘云迨)","简爱 / Jianai /Jane Eyre","Taipei Wuzhou Press","",NA,"","","","",NA,""
"55",NA,25.0776424695209,121.546855510076,"Taipei","Taipei","Taipei","Taiwan","Chinese","",1975,"01/01/1975 00:00","01/01/1975",NA,"Zhong Wen (文仲)","简爱 / Jianai / Jane Eyre","Taipei Qingliu Press","",NA,"","","","",NA,""
"56",51,31.0850419026041,121.464311041998,"Shanghai","Shanghai","Shanghai","China","Chinese","",1980,"01/01/1980 00:00","",NA,"Qingying Zhu (祝庆英)","简爱 / Jianai / Jane Eyre","Shanghai Yiwen Press","",NA,"","","",NA,NA,""
"57",36,40.0310723617535,116.396101259891,"Beijing","Beijing","Beijing","China","Chinese","",1982,"01/01/1982 00:00","",NA,"Jiye Li (李霁野)","简爱自传 / Jianai zizhuan / Jane Eyre: An Autobiography","Shanxi Renmin Press","1",NA,"","","First Beijing edition of the translation originally published in Shanghai in 1936","",NA,""
"58",NA,41.7349766589239,123.490759756168,"Shenyang","Shenyang","Shenyang","China","Chinese","",1983,"01/01/1983 00:00","",NA,"Zunyi Li (李遵义）","简爱 / Jianai / Jane Eyre ","Liaoning Meishu Press","",NA,"","","Graphic novel ","",NA,""
"59",NA,25.0619792969835,121.572733104092,"Taipei","Taipei","Taipei","Taiwan","Chinese","",1988,"01/01/1988 00:00","01/01/1988",NA,"Xuting Liang (梁绪婷)","简爱 / Jianai / Jane Eyre","Taipei Zhiwen Press","",NA,"","","","",NA,""
"60",37,39.9048419858657,116.525485259,"Beijing","Beijing","Beijing","China","Chinese","",1990,"01/01/1990 00:00","",37,"Junxie Wu (吴钧燮)","简爱 / Jianai / Jane Eyre","Renmin Wenxue Press","1",NA,"","","Later republished in Taipei (2019)","",NA,""
"61",42,30.3861700007661,120.248039336159,"Hangzhou","Hangzhou","Hangzhou","China","Chinese","",1991,"01/01/1991 00:00","",42,"Wen Ling (凌雯)","简爱 / Jianai / Jane Eyre","Zhejiang Wenyi Press","1",NA,"","","","",NA,""
"62",NA,26.0345220505076,119.379183032633,"Fuzhou","Fuzhou","Fuzhou","China","Chinese","",1993,"01/01/1993 00:00","",NA,"Derong Li (李德荣)","简爱 / Jianai / Jane Eyre","Haixia Wenyi Press","",NA,"","","","",NA,""
"63",49,31.9762278656694,118.817998216541,"Nanjing","Nanjing","Nanjing","China","Chinese","",1994,"01/01/1994 00:00","",48,"Yuanshen Huang (黄源深)","简爱 / Jianai / Jane Eyre","Yilin Press","1",NA,"","","","",NA,""
"64",NA,43.7520072453449,126.510598496463,"Jilin","Jilin","Jilin","China","Chinese","",1995,"01/01/1995 00:00","",NA,"Hong Liang (梁虹)","简爱 / Jianai / Jane Eyre","Shidai Wenyi Press","",NA,"","","","",NA,""
"65",NA,30.5890921605583,103.964705009311,"Chengdu","Chengdu","Chengdu","China","Chinese","",1995,"01/01/1995 00:00","",NA,"Naixiu Sun (孙乃修) ","简爱 / Jianai / Jane Eyre","Sichuan Renmin Press","",NA,"","","Abridged","",NA,""
"66",NA,36.5427406632014,101.782995328765,"Xining","Xining","Xining","China","Chinese","",1995,"01/01/1995 00:00","",NA,"Qi Zhao (赵琪)","简爱 / Jianai / Jane Eyre","Qinghai Renmin Press","",NA,"","","","",NA,""
"67",NA,28.1191274171917,113.093439346281,"Changsha","Changsha","Changsha","China","Chinese","",1995,"01/01/1995 00:00","",NA,"Shuren Huang (黄淑仁)","简爱 / Jianai / Jane Eyre","Hunan Wenyi Press","",NA,"","","","",NA,""
"68",NA,38.0607708049878,114.572277703131,"Shijiazhuang","Shijiazhuang","Shijiazhuang","China","Chinese","",1996,"01/01/1996 00:00","",NA,"Ming Lu (卢铭) ","简爱 / Jianai / Jane Eyre","Hebei University Press","",NA,"","","Abridged","",NA,""
"69",NA,39.9360248112448,116.499094858145,"Beijing","Beijing","Beijing","China","Chinese","",1996,"01/01/1996 00:00","",NA,"Peng'en Li (李彭恩)","简爱 / Jianai / Jane Eyre","Beijing Broadcast College Press","",NA,"","","Abridged","",NA,""
"70",NA,39.9039538219899,116.374936703065,"Beijing","Beijing","Beijing","China","Chinese","",1996,"01/01/1996 00:00","",NA,"Shensheng Yang (杨慎生) ","简爱 / Jianai / Jane Eyre","Qinghua University Press","",NA,"","","","",NA,""
"71",NA,38.0572340901415,114.556259365933,"Shijiazhuang","Shijiazhuang","Shijiazhuang","China","Chinese","",1996,"01/01/1996 00:00","",NA,"Xiao Li (小莉)","简爱 / Jianai / Jane Eyre","Huashan Wenyi Press","",NA,"","","","",NA,""
"72",48,26.7978504439315,100.259546155775,"Lijiang","Lijiang","Lijiang","China","Chinese","",1997,"01/01/1997 00:00","",47,"Jianhua Hu (胡建华)","简爱 / Jianai / Jane Eyre","Lijiang Press","1",NA,"","","","",NA,""
"73",NA,23.0915228091863,120.16712645077,"Tainan","Tainan","Tainan","Taiwan","Chinese","",1997,"01/01/1997 00:00","01/01/1997",NA,"Shuping Xu (徐淑萍)","简爱 / Jianai / Jane Eyre","Tainan Hanfeng Press","",NA,"","","","",NA,""
"74",NA,39.8387086563141,116.517184214046,"Beijing","Beijing","Beijing","China","Chinese","",1997,"01/01/1997 00:00","",NA,"Xiaohong Yang (杨晓红)","简爱 / Jianai / Jane Eyre","Jiuzhou Tushu Press","",NA,"","","","",NA,""
"75",NA,32.1583015400204,118.856990011369,"Nanjing","Nanjing","Nanjing","China","Chinese","",1998,"01/01/1998 00:00","",NA,"Ailing Wu (吴艾玲) (译注)","简爱 / Jianai / Jane Eyre","Jiangsu Jiaoyu Press","",NA,"","","","",NA,""
"76",NA,42.9666603635809,129.453094962906,"Yanbian","Yanbian","Yanbian","China","Chinese","",1999,"01/01/1999 00:00","",NA,"He Wu (武合)","简爱 / Jianai / Jane Eyre","Yanbian Renmin Press","",NA,"","","","",NA,""
"77",NA,40.0105987319585,116.40709145822,"Beijing","Beijing","Beijing","China","Chinese","",1999,"01/01/1999 00:00","",NA,"Shibi Yang (杨诗碧)","简爱 / Jianai / Jane Eyre","China Xiju Press","",NA,"","","","",NA,""
"78",NA,30.622357657861,103.968633474334,"Chengdu","Chengdu","Chengdu","China","Chinese","",1999,"01/01/1999 00:00","",NA,"Suxian Wei (魏素先)","简爱 / Jianai / Jane Eyre","Sichuan Renmin Press","",NA,"","","","",NA,""
"79",NA,24.9883960529633,121.505672049618,"Taipei","Taipei","Taipei","Taiwan","Chinese","",1999,"01/01/1999 00:00","01/01/1999",NA,"Wenqi Li (李文绮)","简爱 / Jianai / Jane Eyre","Taipei Yuanzun Wenhua Press","",NA,"","","Later republished in Hefei (2010)","",NA,""
"80",NA,39.9849290012245,116.39704506135,"Beijing","Beijing","Beijing","China","Chinese","",1999,"01/01/1999 00:00","",NA,"Xiaowei Wang (王晓卫)","简爱 / Jianai / Jane Eyre","Dazhong Wenyi Press","",NA,"","","","",NA,""
"81",NA,25.0905952996046,121.640777075806,"Taipei","Taipei","Taipei","Taiwan","Chinese","",1999,"01/01/1999 00:00","01/01/1999",NA,"Youling Huang (黄友玲)","简爱 / Jianai / Jane Eyre","Taipei Xidai Press","",NA,"","","","",NA,""
"82",NA,40.010338204806,116.523773471996,"Beijing","Beijing","Beijing","China","Chinese","",1999,"01/01/1999 00:00","",NA,"Zijian Han (韩子剑)","简爱 / Jianai / Jane Eyre","China Xiju Press","",NA,"","","","",NA,""
"83",NA,45.8139198549558,126.599347794102,"Harbin","Harbin","Harbin","China","Chinese","",2000,"01/01/2000 00:00","",NA,"Lin Zi (林子)","简爱 / Jianai / Jane Eyre","Harbin Publishing House","",NA,"","","","",NA,""
"84",NA,23.0553845619534,120.214821720764,"Tainan","Tainan","Tainan","Taiwan","Chinese","",2000,"01/01/2000 00:00","01/01/2000",NA,"Xinci Zhang (张心慈)","简爱 / Jianai / Jane Eyre","Tainan Daxia Press","",NA,"","","","",NA,""
"85",NA,42.8708893275167,129.561672612108,"Yanbian","Yanbian","Yanbian","China","Chinese","",2000,"01/01/2000 00:00","",NA,"Yu Sun (孙宇)","简爱 / Jianai / Jane Eyre","Yanbian Renmin Press","",NA,"","","","",NA,""
"86",39,30.5961746982131,104.020073998458,"Chengdu","Chengdu","Chengdu","China","Chinese","2011",2001,"01/01/2001 00:00","",39,"Daming Li (李大明) and Jing Li (李晶)","简·爱 (缩写本) / Jian Ai (suoxieben) / Jane Eyre (Abridged Version)","Sichuan Wenyi Chubanshe (四川文艺出版社)","2",NA,"http://book.kongfz.com/156492/879622674/ and for the 2011 reprint https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20homework%202018-19/3%20Cover%20images/Chinese?preview=2011+Li+%26+Li.tiff","https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20homework%202018-19/4%20Sound%20files%20of%20title%20and%20author/Chinese?preview=2011+Li+%26+Li.m4a","This abridged version was the basis for the 2011 translation into Tibetan printed together with the Chinese text. Source: researcher's copy (Ulrich Timme Kragh)","Researcher's copy (Ulrich Timme Kragh)",NA,""
"87",150,22.2175330366478,114.098115967691,"Hong Kong","Hong Kong","Hong Kong","Hong Kong","Chinese","",2001,"01/01/2001 00:00","",150,"Fei Gao","简爱 / Jianai / Jane Eyre","Wenhua Yishu Press","1",NA,"","","","",NA,""
"88",34,39.9680555894368,116.52055405279,"Beijing","Beijing","Beijing","China","Chinese","",2001,"01/01/2001 00:00","",34,"Jianghao Wu（吴江皓）and Fanhai Zeng（曾凡海）","简爱 / Jianai / Jane Eyre","Beijing Yanshan Press ","1",NA,"","","","",NA,""
"89",NA,43.8197993920909,126.525927644757,"Jilin","Jilin","Jilin","China","Chinese","",2001,"01/01/2001 00:00","",NA,"Xiaofeng Shen (沈小凤)","简爱 / Jianai / Jane Eyre","Shidai Wenyi Press","",NA,"","","","",NA,""
"90",NA,49.2994186917132,119.82320207149,"Hulun Buir","Hulun Buir","Hulun Buir","China","Chinese","",2001,"01/01/2001 00:00","",NA,"Xiaojuan Dong (董晓娟)","简爱 / Jianai / Jane Eyre","Neimenggu Wenhua Press","",NA,"","","","",NA,""
"91",NA,49.2482825498374,119.732549873518,"Hulun Buir","Hulun Buir","Hulun Buir","China","Chinese","",2001,"01/01/2001 00:00","",NA,"Xiaojuan Wang (王晓娟)","简爱 / Jianai / Jane Eyre","Neimenggu Wenhua Press","",NA,"","","","",NA,""
"92",NA,31.159259463864,121.485674765043,"Shanghai","Shanghai","Shanghai","China","Chinese","",2001,"01/01/2001 00:00","",NA,"Yixin Fan (樊一昕）","简爱 / Jianai / Jane Eyre","Shanghai Shijie Tushu Corporation","",NA,"","","","",NA,""
"93",151,22.2262615486984,114.101563311473,"Hong Kong","Hong Kong","Hong Kong","Hong Kong","Chinese","",2002,"01/01/2002 00:00","",151,"Xijiang Fan","简爱 / Jianai / Jane Eyre","Wenhua Yishu Press","1",NA,"","","","",NA,""
"94",NA,39.9219207306721,116.478115723639,"Beijing","Beijing","Beijing","China","Chinese","",2002,"01/01/2002 00:00","",NA,"Zhaolin Song (宋兆霖)","简爱 / Jianai / Jane Eyre","China Wenlian Press","",NA,"","","Later republished in Taipei","",NA,""
"95",43,30.29455517437,120.187583241408,"Hangzhou","Hangzhou","Hangzhou","China","Chinese","",2003,"01/01/2003 00:00","",41,"Jinghai Shi, Huiliang Liu and Wenwen Wang (史津海，刘微亮，王雯雯)","简爱 / Jianai / Jane Eyre","Zhejiang Wenyi Press","1",NA,"","","","",NA,""
